ARTICOLO ,CATEGORIA,STAGIONE ,LINEA ,COLORI,N CAPI TU ,N. CAPI XS ,N CAPI S,N CAPI M,N CAPI L ,N CAPI XL ,N CAPI XXL,PREZZO LAB ,PREZZO ECOMMERCE
OSLO ✅,MAGLIONE ,A/I,MAGLIERIA ,CREMA,,0,0,3,0,,,,
OSLO ✅,MAGLIONE ,A/I,MAGLIERIA ,NERO,,0,0,5,0,,,,
OSLO ✅,MAGLIONE ,A/I,MAGLIERIA ,NERO/GRIGIO,,0,3,4,0,,,,
OSLO ✅,MAGLIONE ,A/I,MAGLIERIA ,ROSA/VERDE,,0,0,4,2,,,,
,,,,,,,,,,,,,
OSLO RICAMO ✅,MAGLIONE,A/I,MAGLIERIA,NERO/GRIGIO,0,0,0,1,0,0,0,,
OSLO RICAMO ✅,MAGLIONE,A/I,MAGLIERIA,GRIGIO,0,0,0,2,0,0,0,,
OSLO RICAMO ✅,MAGLIONE,A/I,MAGLIERIA,ROSA/VERDE,0,0,0,1,0,0,0,,
,,,,,,,,,,,,,
OXFORD. T.D ✅,GONNA,A/I,FELPA L.,NERO,,,1,,1,,,"119,99",
OXFORD   T.D ✅,GONNA,A/I,FELPA L.,PIOMBO ,,,3,,2,,,"119,99",
OXFORD   T.D ✅,GONNA,A/I,FELPA L.,CREMA ,,,1,,4,,,"119,99",
,,,,,,,,,,,,,
PALERMO ✅,FELPA ,A/I,FELPA P.,CREMA,,,3,5,1,,,"189,99",
PALERMO ✅,FELPA ,A/I,FELPA P.,SALMONE,,,2,4,2,,,"189,99",
PALERMO ✅,FELPA ,A/I,FELPA P.,AZZURRO,,,2,3,2,,,"189,99",
PALERMO ✅,FELPA ,A/I,FELPA P.,NERO,,,2,5,3,,,"189,99",
